tstamp,country,observation,obs_ord,count
2020-03-15,UAE,tot_cases_1m_pop,Total Cases per 1m Population,8.6
2020-03-15,UAE,death_rate,Death Rate,0
2020-03-15,Thailand,total_cases,Total Cases,82
2020-03-15,Thailand,new_cases,New Cases,7
2020-03-15,Thailand,total_deaths,Total Deaths,1
2020-03-15,Thailand,new_deaths,NA,NA
2020-03-15,Thailand,total_recovered,Total Recovered,35
2020-03-15,Thailand,active_cases,Active Cases,46
2020-03-15,Thailand,serious_critical,Serious Critical,1
2020-03-15,Thailand,tot_cases_1m_pop,Total Cases per 1m Population,1.2
2020-03-15,Thailand,death_rate,Death Rate,1.22
2020-03-15,Chile,total_cases,Total Cases,61
2020-03-15,Chile,new_cases,New Cases,18
2020-03-15,Chile,total_deaths,Total Deaths,NA
2020-03-15,Chile,new_deaths,NA,NA
2020-03-15,Chile,total_recovered,Total Recovered,NA
2020-03-15,Chile,active_cases,Active Cases,61
2020-03-15,Chile,serious_critical,Serious Critical,NA
2020-03-15,Chile,tot_cases_1m_pop,Total Cases per 1m Population,3.2
2020-03-15,Chile,death_rate,Death Rate,NA
2020-03-15,Russia,total_cases,Total Cases,59
2020-03-15,Russia,new_cases,New Cases,14
2020-03-15,Russia,total_deaths,Total Deaths,0
2020-03-15,Russia,new_deaths,NA,NA
2020-03-15,Russia,total_recovered,Total Recovered,8
2020-03-15,Russia,active_cases,Active Cases,51
2020-03-15,Russia,serious_critical,Serious Critical,NA
2020-03-15,Russia,tot_cases_1m_pop,Total Cases per 1m Population,0.4
2020-03-15,Russia,death_rate,Death Rate,0
2020-03-15,Taiwan,total_cases,Total Cases,53
2020-03-15,Taiwan,new_cases,New Cases,3
2020-03-15,Taiwan,total_deaths,Total Deaths,1
2020-03-15,Taiwan,new_deaths,NA,NA
2020-03-15,Taiwan,total_recovered,Total Recovered,20
2020-03-15,Taiwan,active_cases,Active Cases,32
2020-03-15,Taiwan,serious_critical,Serious Critical,NA
2020-03-15,Taiwan,tot_cases_1m_pop,Total Cases per 1m Population,2.2
2020-03-15,Taiwan,death_rate,Death Rate,1.89
2020-03-15,Vietnam,total_cases,Total Cases,53
2020-03-15,Vietnam,new_cases,New Cases,9
2020-03-15,Vietnam,total_deaths,Total Deaths,0
2020-03-15,Vietnam,new_deaths,NA,NA
2020-03-15,Vietnam,total_recovered,Total Recovered,16
2020-03-15,Vietnam,active_cases,Active Cases,37
2020-03-15,Vietnam,serious_critical,Serious Critical,NA
2020-03-15,Vietnam,tot_cases_1m_pop,Total Cases per 1m Population,0.5
2020-03-15,Vietnam,death_rate,Death Rate,0
2020-03-15,Luxembourg,total_cases,Total Cases,51
2020-03-15,Luxembourg,new_cases,New Cases,13
2020-03-15,Luxembourg,total_deaths,Total Deaths,NA
2020-03-15,Luxembourg,new_deaths,NA,NA
2020-03-15,Luxembourg,total_recovered,Total Recovered,NA
2020-03-15,Luxembourg,active_cases,Active Cases,50
2020-03-15,Luxembourg,serious_critical,Serious Critical,NA
2020-03-15,Luxembourg,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-03-15,Luxembourg,death_rate,Death Rate,NA
2020-03-15,Serbia,total_cases,Total Cases,46
2020-03-15,Serbia,new_cases,New Cases,11
2020-03-15,Serbia,total_deaths,Total Deaths,NA
2020-03-15,Serbia,new_deaths,NA,NA
2020-03-15,Serbia,total_recovered,Total Recovered,NA
2020-03-15,Serbia,active_cases,Active Cases,46
2020-03-15,Serbia,serious_critical,Serious Critical,1
2020-03-15,Serbia,tot_cases_1m_pop,Total Cases per 1m Population,5.3
2020-03-15,Serbia,death_rate,Death Rate,NA
2020-03-15,Slovakia,total_cases,Total Cases,44
2020-03-15,Slovakia,new_cases,New Cases,12
2020-03-15,Slovakia,total_deaths,Total Deaths,NA
2020-03-15,Slovakia,new_deaths,NA,NA
2020-03-15,Slovakia,total_recovered,Total Recovered,NA
2020-03-15,Slovakia,active_cases,Active Cases,44
